샘밭막국수 (서울본점), 서울시 서초구 서초동 1685-8, 02-585-1702, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:30 - 21:30
돈가래, 서울시 성북구 동소문동1가 121, 02-764-0348, 고기 요리, 만원 미만, 주차공간없음, 17:00 - 23:00
나폴레옹과자점, 서울시 성북구 성북동1가 35-5, 02-742-7421, 베이커리, 만원 미만, 유료주차 가능, 08:00 - 21:30
목바, 서울시 성북구 동소문동2가 42, 02-744-5533, 스테이크 / 바베큐, 2만원-3만원, 주차공간없음, 16:00 - 03:00
하단, 서울시 성북구 성북동 184-40, 02-764-5744, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 12:00 - 20:00
국시집, 서울시 성북구 성북동1가 9, 02-762-1924, 국수 / 면 요리, 만원 미만, 주차공간없음, 12:00 - 20:30
꿀맛식당 (본점), 서울시 성북구 성북동 184-84, 02-741-8677, 이탈리안, 만원-2만원, 주차공간없음, 11:30 - 22:00
옛날중국집, 서울시 성북구 성북동 184-2, 02-764-0094, 정통 중식 / 일반 중식, 만원 미만, 주차공간 없음, 11:00 - 21:00
스시산, 서울시 성북구 성북동1가 65, 02-766-3730, 회 / 스시, 2만원-3만원, 주차공간없음, 11:00 - 22:30
시노다야이자카야, 서울시 성북구 삼선동1가 71, 02-928-9292, 이자카야 / 오뎅 / 꼬치, None, None, None
믹스앤몰트, 서울시 종로구 명륜3가 154-2, 02-765-5945, 칵테일 / 와인, 만원-2만원, 주차공간없음, 월-금: 17:00 - 02:00\n토: 12:00 - 01:00\n일: 12:00 - 02:00
정돈, 서울시 종로구 명륜4가 107, 02-987-0924, 까스 요리, 만원-2만원, 유료주차 가능, 11:30 - 21:00
카페키이로, 서울시 종로구 명륜4가 154-2, 02-747-0848, 카페 / 디저트, 만원 미만, 주차공간없음, 12:00 - 20:00
독일주택, 서울시 종로구 명륜4가 45-1, 02-742-1933, 치킨 / 호프 / 펍, 만원-2만원, 유료주차 가능, 12:00 - 02:00
명륜건강원, 서울시 종로구 명륜2가 237, 02-741-2344, 한정식 / 백반 / 정통 한식, 만원 미만, 무료주차 가능, 월-금: 11:00 - 22:00\n토: 11:00 - 21:00
블루룸, 서울시 종로구 명륜4가 66-3, 070-4045-1496, 카페 / 디저트, 만원 미만, 주차공간없음, 12:00 - 24:00
깔리, 서울시 종로구 명륜4가 170-3, 02-747-5050, 인도 음식, 만원-2만원, 주차공간없음, 12:00 - 21:30
나누미떡볶이, 서울시 종로구 명륜2가 225, 02-747-0881, 기타 한식, 만원 미만, 주차공간없음, 00:00 - 24:00
은행골초밥, 서울시 종로구 명륜4가 146-1, 02-486-4988, 회 / 스시, 만원-2만원, 주차공간없음, 월-토: 11:30 - 22:30\n일: 11:30 - 22:00
호호식당, 서울시 종로구 명륜4가 143, 02-741-2384, 정통 일식 / 일반 일식, 만원-2만원, 주차공간없음, 11:00 - 22:00
비엘티스테이크 (JW메리어트동대문), 서울시 종로구 종로6가 289-3, 02-2276-3330, 스테이크 / 바베큐, 4만원 이상, 무료주차 가능, 11:30 - 22:00
옥천왕족발, 서울시 종로구 창신동 142-27, 02-3672-7168, 고기 요리, 만원-2만원, 주차공간없음, 10:00 - 24:00
동북화과왕, 서울시 종로구 창신동 463-1, 02-742-5168, 기타 중식, 만원-2만원, 11:00 - 24:00, 
마고미, 서울시 중구 을지로6가 18-12, 돈부리 / 일본 카레 / 벤토, 만원 미만, None, None, None
일젤라또 (현대시티아울렛 동대문점), 서울시 중구 을지로6가 17-2, 02-2283-2247, 카페 / 디저트, 만원 미만, 유료주차 가능, 일-수: 11:00 - 22:00\n목-토: 11:00 - 23:00
창신동매운족발 (본점), 서울시 종로구 창신동 581-5, 02-3675-9689, 고기 요리, 만원-2만원, 주차공간없음, 10:30 - 24:00
라에스키모 (현대시티아울렛 동대문점), 서울시 중구 을지로6가 17-2, 02-2283-2100, 카페 / 디저트, 만원 미만, 유료주차 가능, 11:00 - 23:00
코나야 (현대시티아울렛 동대문점), 서울시 중구 을지로6가 17-2, 02-2283-2261, 라멘 / 소바 / 우동, 만원 미만, 유료주차 가능, 11:00 - 22:00
그리핀바, 서울시 종로구 종로6가 289-3, 02-2276-3344, 칵테일 / 와인, 3만원-4만원, 18:00 - 02:00, None
더라운지 (JW 메리어트호텔 동대문점), 서울시 종로구 종로6가 289-3, 02-2276-3336, 칵테일 / 와인, 만원-2만원, 유료주차 가능, 09:00 - 22:00
장프리고, 서울시 중구 광희동2가 296, 02-2275-1933, 칵테일 / 와인, 2만원-3만원, 무료주차 가능, 월-목: 12:00 - 02:00\n금-토: 12:00 - 03:00
핀스카이, 서울시 중구 을지로7가 58-1, 02-2275-1331, 칵테일 / 와인, 만원 미만, 무료주차 가능, 18:00 - 03:00
사마르칸트, 서울시 중구 광희동1가 120, 02-2277-4267, 다국적 아시아 음식, 만원-2만원, 주차공간없음, 11:00 - 23:30
평양면옥 (본점), 서울시 중구 장충동1가 26-14, 02-2263-7784, 국수 / 면 요리, 만원-2만원, 무료주차 가능, 11:00 - 21:30
해룡마라룽샤 (2호점), 서울시 중구 을지로6가 18-66, 02-2268-6789, 기타 중식, 2만원-3만원, 유료주차 가능 주차권 2시간 제공, 12:00 - 24:00
송림, 서울시 중구 장충동1가 35-6, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 월-금: 11:00 - 21:30\n토-일: 11:00 - 21:00, 첫째/셋째 일
파르투내, 서울시 중구 광희동1가 250-1, 02-2278-7770, 세계음식 기타, 만원 미만, 주차공간없음, 10:00 - 24:00
빕스버거 (CJ푸드월드점), 서울시 중구 쌍림동 292, 02-6740-7902, 브런치 / 버거 / 샌드위치, 만원 미만, 무료주차 가능, 월-금: 11:00 - 21:30\n토-일: 11:00 - 21:00
에이쓰리 아카이브, 서울시 중구 신당동 220-28, 02-2153-0777, 카페 / 디저트, 만원 미만, 유료주차 가능, 09:00 - 24:00
잘루스, 서울시 중구 광희동1가 143-2, 02-2277-5418, 다국적 아시아 음식, 만원-2만원, 주차공간없음, 10:00 - 23:00
사랑방칼국수, 서울시 중구 충무로3가 23-1, 02-2272-2020, 국수 / 면 요리, 만원 미만, 주차공간없음, 월-금: 09:00 - 22:00\n토: 09:00 - 21:00\n일: 09:00 - 16:00
다시열린하얀집, 서울시 중구 충무로5가 87-3, 일반 주점, 만원 미만, 주차공간없음, 17:00 - 04:20, None
동대닭한마리, 서울시 중구 필동3가 10-2, 02-2269-5596, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 11:00 - 23:00
필동면옥, 서울시 중구 필동3가 1-5, 02-2266-2611, 국수 / 면 요리, 만원-2만원, 무료주차 가능, 11:30 - 21:00
충무로쭈꾸미불고기, 서울시 중구 필동1가 3-20, 02-2279-0803, 해산물 요리, 만원-2만원, 주차공간없음, 월-금: 12:00 - 22:00\n토: 12:00 - 21:30
파스타노, 서울시 중구 필동2가 81-11, 02-2264-9688, 이탈리안, 만원 미만, 주차공간없음, 11:00 - 21:00
파스타마켓, 서울시 중구 필동2가 17-5, 02-6348-1205, 기타 양식, 만원-2만원, 유료주차 가능, 월-금: 11:30 - 21:00\n토-일: 12:30 - 21:00
반반국수, 서울시 중구 필동1가 24-8, 02-2272-1888, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:00 - 23:00
이태리식당, 서울시 중구 필동2가 17-7, 02-2272-0486, 이탈리안, 만원-2만원, 주차공간없음, 11:30 - 21:30
딸깍발이, 서울시 중구 필동3가 10-18, 02-2267-7009, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 10:00 - 22:00\n토: 10:00 - 21:00
보버라운지, 서울시 중구 회현동2가 88, 02-6020-5755, 프랑스 음식, 3만원-4만원, 유료주차 가능, 11:30 - 24:00
란주칼면, 서울시 중구 충무로1가 25-9, 02-779-4800, 기타 중식, 만원 미만, 주차공간없음, 11:00 - 21:30
명동영양센터, 서울시 중구 충무로1가 25-32, 02-776-2015, 탕 / 찌개 / 전골, 만원-2만원, 주차공간없음, 10:30 - 22:30
배터리파크 (명동점), 서울시 중구 회현동2가 88, 02-6020-5750, 이탈리안, 만원-2만원, 유료주차 가능, 11:30 - 23:00
루프탑바플로팅, 서울시 중구 충무로2가 62-12, 02-6310-1097, 칵테일 / 와인, 2만원-3만원, 주차공간없음, 일-목: 17:00 - 24:00\n금-토: 17:00 - 01:00
주유별장 (명동점), 서울시 중구 회현동2가 88, 02-6020-5757, 전통 주점 / 포차, 만원-2만원, 주차공간없음, 11:30 - 23:00
명동피자, 서울시 중구 충무로2가 7-1, 02-777-8979, 기타 양식, 만원-2만원, 주차공간없음, 11:40 - 21:45
금산제면소, 서울시 중구 회현동2가 31-1, 기타 중식, 만원-2만원, None, None, None
호미빙 (명동본점), 서울시 중구 충무로2가 66-26, 02-318-0677, 카페 / 디저트, 만원 미만, 주차공간없음, 12:00 - 22:20
프리모바치오바치 (명동2호점), 서울시 중구 충무로1가 23-1, 02-776-5400, 이탈리안, 만원-2만원, 주차공간없음, 11:00 - 23:00
비스테카 (신세계백화점 본점 신관), 서울시 중구 충무로1가 54, 02-1588-1234, 카페 / 디저트, 만원-2만원, 무료주차 가능, 월-목: 10:30 - 20:00\n금-일: 10:30 - 20:30
은호식당 (본점), 서울시 중구 남창동 50-42, 02-753-3263, 탕 / 찌개 / 전골, 만원-2만원, 주차공간없음, 월-금: 06:00 - 21:00\n토-일: 6:00 - 16:00
크레마디몬타냐 (신세계백화점 본점 신관), 서울시 중구 충무로1가 54, 02-310-5035, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-목: 10:30 - 20:00\n금-일: 10:30 - 20:30
가메골손왕만두, 서울시 중구 남창동 60-2, 02-755-2569, 한정식 / 백반 / 정통 한식, 만원 미만, 주차공간없음, 08:00 - 20:00
닭진미강원집 (본점), 서울시 중구 남창동 34-138, 02-753-9063, 닭 / 오리 요리, 만원 미만, 주차공간없음, 07:00 - 21:00
막내회집, 서울시 중구 남창동 50-48, 02-755-5115, 해산물 요리, 3만원-4만원, 유료주차 가능, 월-토: 07:00 - 24:00\n일: 10:00 - 24:00
로이즈 (신세계백화점 본점 신관), 서울시 중구 충무로1가 54, 02-310-5055, 카페 / 디저트, 만원-2만원, 무료주차 가능, 월-목: 10:30 - 20:00\n금-일: 10:30 - 20:30
베키아에누보 (신세계백화점 본점), 서울시 중구 충무로1가 54, 02-310-1244, 카페 / 디저트, 만원-2만원, 유료주차 가능, 월-목: 10:30 - 20:00\n금-일: 10:30 - 20:30
카페 피크닉, 서울시 중구 남창동 194, 070-8821-6374, 카페 / 디저트, 만원 미만, 주차공간없음, 10:00 - 24:00
왕대박지지미촌, 서울시 중구 회현동1가 194-47, 02-752-3337, 한정식 / 백반 / 정통 한식, 만원-2만원, 유료주차 가능, 월-금: 15:00 - 01:00\n토-일: 15:00 - 24:00
블랙드럼, 서울시 중구 남대문로5가 541, 02-6456-8866, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 07:00 - 22:00\n토-일: 09:00 - 22:00
유즈라멘, 서울시 중구 만리동1가 53-8, 070-4177-0365, 라멘 / 소바 / 우동, 만원 미만, 주차공간없음, 11:30 - 15:00
카페올로 (서울스퀘어점), 서울시 중구 남대문로5가 541, 02-6456-8985, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 08:00 - 22:00\n토-일: 08:00 - 21:00
해랑스시, 서울시 중구 남대문로5가 84-11, 02-2259-0088, 회 / 스시, 만원-2만원, 무료주차 가능, 11:30 - 22:00
카페395 (밀레니엄서울힐튼), 서울시 중구 남대문로5가 395, 02-317-3062, 뷔페, 4만원 이상, 발렛, 06:00 - 22:00
이창희스시, 서울시 용산구 동자동 9-3, 02-3789-2822, 회 / 스시, 만원 미만, 발렛, 11:00 - 01:30
베리스트리트키친, 서울시 중구 만리동1가 62-36, 02-312-0205, 다국적 퓨전, 만원-2만원, 주차공간없음, 18:00 - 23:00
카니발피자, 서울시 중구 남대문로5가 541, 02-6456-8752, 퓨전 양식, 만원-2만원, 유료주차 가능, 11:00 - 21:00
서울리스타, 서울시 중구 남대문로5가 84-16, 02-757-2265, 치킨 / 호프 / 펍, 만원-2만원, 주차공간없음, 월-금: 11:30 - 01:00\n토: 13:00 - 22:00\n일: 12:00 - 21:00
누들박스 (서울역점), 서울시 용산구 동자동 43-205, 070-7092-7764, 태국 음식, None, None, None
현선이네 (본점), 서울시 용산구 한강로2가 305-1, 070-8864-8889, 기타 한식, 만원 미만, 주차공간없음, 10:00 - 24:00
야스노야 (신용산점), 서울시 용산구 한강로2가 84-7, 02-797-0702, 스테이크 / 바베큐, 2만원-3만원, 무료주차 가능, 11:30 - 22:30
현대본가, 서울시 용산구 한강로1가 166-2, 02-793-8118, 고기 요리, 2만원-3만원, 주차공간없음, 11:30 - 22:00
삼각정, 서울시 용산구 한강로2가 258-1, 02-798-3666, 고기 요리, 만원-2만원, 주차공간없음, 17:00 - 22:30
시후쿠 (1호점), 서울시 용산구 한강로1가 250-2, 02-790-8848, 정통 일식 / 일반 일식, 만원 미만, 주차공간없음, 11:30 - 23:30
명화원, 서울시 용산구 한강로1가 14-28, 02-792-2969, 정통 중식 / 일반 중식, 만원 미만, 유료주차 가능, 화-금: 11:00 - 20:00\n토: 11:00 - 19:00
원대구탕, 서울시 용산구 한강로1가 142-4, 02-797-4488, 해산물 요리, 만원 미만, 주차공간없음, 10:00 - 22:00
카페시도, 서울시 용산구 용산동3가 1-36, 카페 / 디저트, 만원 미만, None, None, None
한강집, 서울시 용산구 한강로1가 257-9, 02-716-7452, 해산물 요리, 만원-2만원, 무료주차 가능, 09:00 - 22:00
대원식당, 서울시 용산구 용산동3가 1-64, 02-795-1087, 해산물 요리, None, None, None
북천, 서울시 용산구 한강로2가 153-8, 02-796-2461, 까스 요리, 만원 미만, 주차공간없음, 일-금: 11:30 - 19:00\n토: 11:30 - 14:00
현선이네 (본점), 서울시 용산구 한강로2가 305-1, 070-8864-8889, 기타 한식, 만원 미만, 주차공간없음, 10:00 - 24:00
야스노야 (신용산점), 서울시 용산구 한강로2가 84-7, 02-797-0702, 스테이크 / 바베큐, 2만원-3만원, 무료주차 가능, 11:30 - 22:30
카페알토 바이 밀도, 서울시 용산구 한강로2가 181, 02-6462-5050, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 08:00 - 20:00\n토-일: 10:00 - 19:00
기차길옆초밥, 서울시 용산구 한강로2가 2-192, 02-797-3771, 회 / 스시, 만원-2만원, 무료주차 가능, 월-금: 11:00 - 23:00\n토: 11:30 - 23:00
하나야, 서울시 용산구 한강로2가 419, 02-793-1211, 이자카야 / 오뎅 / 꼬치, 만원-2만원, 18:00 - 12:00, 일
컴컴베이커리, 서울시 용산구 한강로2가 112-1, 02-788-7365, 베이커리, 만원 미만, 무료주차 가능, 08:00 - 22:00
현선이네 (신용산점), 서울시 용산구 한강로2가 307-3, 02-796-1191, 기타 한식, 만원 미만, 주차공간없음, 10:00 - 22:00
모나미카레, 서울시 용산구 한강로2가 148-8, 02-797-1488, 돈부리 / 일본 카레 / 벤토, 만원 미만, 주차공간없음, 11:30 - 20:30
도렐 (육지2호점), 서울시 용산구 한강로2가 181, 02-6365-3675, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 08:00 - 22:00\n토-일: 10:00 - 22:00
동빙고, 서울시 용산구 이촌동 301-162, 02-794-7171, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:30 - 22:50
스즈란테이, 서울시 용산구 이촌동 301-10, 02-749-5324, 정통 일식 / 일반 일식, 만원-2만원, 유료주차 가능, 11:30 - 22:30
헬카페 스피리터스, 서울시 용산구 이촌동 300-23, 070-7612-4687, 카페 / 디저트, 만원 미만, 무료주차 가능 한강멘션 상가주차장,2
소바야청담, 서울시 용산구 이촌동 301-160, 02-749-7745, 라멘 / 소바 / 우동, 만원 미만, 유료주차 가능, 10:30 - 21:30
아지겐 (본점), 서울시 용산구 이촌동 301-153, 02-794-8177, 정통 일식 / 일반 일식, 만원-2만원, 무료주차 가능, 11:30 - 22:00
미나미, 서울시 용산구 이촌동 301-162, 02-790-8306, 회 / 스시, 4만원 이상, 11:30 - 22:00, 14:00 - 17:30
하프파스트텐, 서울시 용산구 이촌동 302-46, 02-792-5416, 칵테일 / 와인, 만원-2만원, 주차공간없음, 18:00 - 02:00
솔낭구, 서울시 용산구 이촌동 301-53, 02-794-1515, 고기 요리, 만원 미만, 10:00 - 23:00, 
와세다야 (이촌본점), 서울시 용산구 이촌동 300-10, 02-796-0608, 정통 일식 / 일반 일식, 2만원-3만원, 발렛, 월-토: 17:30 - 24:00\n일: 17:00 - 24:00
국화 (동부이촌점), 서울시 용산구 이촌동 300-58, 02-794-8105, 일반 주점, 만원-2만원, 주차공간없음, 11:00 - 04:00
카페람베리, 서울시 서초구 방배동 751-1, 02-586-0068, 카페 / 디저트, 만원 미만, 발렛, 10:30 - 22:00
기꾸, 서울시 서초구 방배동 754-1, 02-525-6530, 회 / 스시, 4만원 이상, 유료주차 가능, 11:30 - 22:00
커피프레지던트, 서울시 서초구 방배동 753-7, 02-532-3578, 카페 / 디저트, 만원 미만, 무료주차 가능, 월-토: 10:00 - 24:00\n일: 10:00 - 23:00
카페꼰띠고 (방배점), 서울시 서초구 방배동 752-8, 02-535-5204, 카페 / 디저트, 만원 미만, 발렛, 월-금: 10:00 - 23:30\n토-일: 09:30 - 23:00
봇타야산, 서울시 서초구 방배동 751-1, 02-532-6565, 철판 요리, 3만원-4만원, 발렛 2,000원
치뽈라, 서울시 서초구 방배동 751-4, 02-599-8435, 이탈리안, 만원-2만원, 주차공간없음, 11:00 - 23:00
닥터로빈, 서울시 동작구 흑석동 42-1, 02-3280-3103, 기타 양식, 만원-2만원, 유료주차 가능, 11:00 - 21:30
롤링핀 (방배점), 서울시 서초구 방배동 751-3, 02-599-0668, 베이커리, 만원 미만, 발렛, 09:30 - 22:00
파크루안, 서울시 서초구 방배동 751-1, 02-536-0009, 정통 중식 / 일반 중식, 2만원-3만원, 11:30 - 22:00, 월-금: 15:00 - 17:30
